#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2023 01 20 21 56 999 99.0 99.0  1.10 12.50  7.33 353 9999.0 999.0  25.1 999.0 99.0 99.00
2023 01 20 22 26 999 99.0 99.0  1.12 11.76  7.12 359 9999.0 999.0  25.1 999.0 99.0 99.00
2023 01 20 22 56 999 99.0 99.0  1.13 11.11  7.49 350 9999.0 999.0  25.1 999.0 99.0 99.00
2023 01 20 23 26 999 99.0 99.0  1.13 11.11  7.60 355 9999.0 999.0  25.1 999.0 99.0 99.00
2023 01 20 23 56 999 99.0 99.0  1.11 11.11  7.21 353 9999.0 999.0  25.1 999.0 99.0 99.00
2023 01 21 00 26 999 99.0 99.0  1.04 11.76  7.34   3 9999.0 999.0  25.1 999.0 99.0 99.00
2023 01 21 00 56 999 99.0 99.0  1.08 11.76  7.19 346 9999.0 999.0  25.1 999.0 99.0 99.00
2023 01 21 01 26 999 99.0 99.0  1.03 11.76  7.01 350 9999.0 999.0  25.1 999.0 99.0 99.00
2023 01 21 01 56 999 99.0 99.0  1.08 13.33  7.16   2 9999.0 999.0  25.0 999.0 99.0 99.00
2023 01 21 02 26 999 99.0 99.0  1.00 12.50  6.85 355 9999.0 999.0  25.0 999.0 99.0 99.00
2023 01 21 02 56 999 99.0 99.0  0.99 10.53  7.40 357 9999.0 999.0  25.0 999.0 99.0 99.00
2023 01 21 03 26 999 99.0 99.0  0.95 11.11  7.98 356 9999.0 999.0  25.0 999.0 99.0 99.00
2023 01 21 03 56 999 99.0 99.0  0.99 11.11  8.63 353 9999.0 999.0  25.0 999.0 99.0 99.00
2023 01 21 04 26 999 99.0 99.0  0.89 11.11  8.17 353 9999.0 999.0  25.0 999.0 99.0 99.00
2023 01 21 04 56 999 99.0 99.0  0.89 11.11  8.03 353 9999.0 999.0  25.0 999.0 99.0 99.00
2023 01 21 05 26 999 99.0 99.0  0.93 13.33  7.54   0 9999.0 999.0  25.0 999.0 99.0 99.00
2023 01 21 05 56 999 99.0 99.0  0.83 12.50  7.04   6 9999.0 999.0  24.9 999.0 99.0 99.00
2023 01 21 06 26 999 99.0 99.0  0.90 10.53  7.71 353 9999.0 999.0  24.9 999.0 99.0 99.00
2023 01 21 06 56 999 99.0 99.0  0.88 14.29  7.46   2 9999.0 999.0  24.9 999.0 99.0 99.00
2023 01 21 07 26 999 99.0 99.0  0.87  9.88  7.16 357 9999.0 999.0  24.9 999.0 99.0 99.00
2023 01 21 07 56 999 99.0 99.0  0.86 12.50  7.25   2 9999.0 999.0  24.9 999.0 99.0 99.00
2023 01 21 08 26 999 99.0 99.0  0.89 14.29  7.47  14 9999.0 999.0  24.9 999.0 99.0 99.00
2023 01 21 08 56 999 99.0 99.0  0.89 13.33  7.41 359 9999.0 999.0  24.9 999.0 99.0 99.00
2023 01 21 09 26 999 99.0 99.0  0.81 13.33  7.32 349 9999.0 999.0  24.9 999.0 99.0 99.00
2023 01 21 09 56 999 99.0 99.0  0.85 12.50  7.35   0 9999.0 999.0  24.9 999.0 99.0 99.00
2023 01 21 10 26 999 99.0 99.0  0.81 14.29  7.30   2 9999.0 999.0  24.9 999.0 99.0 99.00
2023 01 21 11 26 999 99.0 99.0  0.79 12.50  7.02 357 9999.0 999.0  24.9 999.0 99.0 99.00
2023 01 21 11 56 999 99.0 99.0  0.75 13.33  6.66 356 9999.0 999.0  24.8 999.0 99.0 99.00
2023 01 21 12 26 999 99.0 99.0  0.78 11.76  6.83   4 9999.0 999.0  24.8 999.0 99.0 99.00
2023 01 21 12 56 999 99.0 99.0  0.81 14.29  6.66 356 9999.0 999.0  24.8 999.0 99.0 99.00
2023 01 21 13 26 999 99.0 99.0  0.86 14.29  6.72   2 9999.0 999.0  24.8 999.0 99.0 99.00
2023 01 21 13 56 999 99.0 99.0  0.80 12.50  6.40   3 9999.0 999.0  24.8 999.0 99.0 99.00
2023 01 21 14 26 999 99.0 99.0  0.84 11.76  6.35   2 9999.0 999.0  24.8 999.0 99.0 99.00
2023 01 21 14 56 999 99.0 99.0  0.81 11.76  6.74 355 9999.0 999.0  24.8 999.0 99.0 99.00
2023 01 21 15 26 999 99.0 99.0  0.79 12.50  6.66 356 9999.0 999.0  24.8 999.0 99.0 99.00
2023 01 21 15 56 999 99.0 99.0  0.78 14.29  6.36   2 9999.0 999.0  24.8 999.0 99.0 99.00
2023 01 21 16 26 999 99.0 99.0  0.82 13.33  6.66 349 9999.0 999.0  24.8 999.0 99.0 99.00
2023 01 21 16 56 999 99.0 99.0  0.80 14.29  6.97   6 9999.0 999.0  24.8 999.0 99.0 99.00
2023 01 21 17 26 999 99.0 99.0  0.84 14.29  6.90 352 9999.0 999.0  24.8 999.0 99.0 99.00
2023 01 21 17 56 999 99.0 99.0  0.82  7.14  6.50  75 9999.0 999.0  24.8 999.0 99.0 99.00
2023 01 21 18 26 999 99.0 99.0  0.77 14.29  6.65   3 9999.0 999.0  24.8 999.0 99.0 99.00
2023 01 21 18 56 999 99.0 99.0  0.80 14.29  6.33 353 9999.0 999.0  24.8 999.0 99.0 99.00
2023 01 21 19 26 999 99.0 99.0  0.83 13.33  6.56 356 9999.0 999.0  24.8 999.0 99.0 99.00
2023 01 21 19 56 999 99.0 99.0  0.89 14.29  6.60   9 9999.0 999.0  24.8 999.0 99.0 99.00
2023 01 21 20 26 999 99.0 99.0  0.85 14.29  6.66 357 9999.0 999.0  24.8 999.0 99.0 99.00
2023 01 21 20 56 999 99.0 99.0  0.86 12.50  6.48 355 9999.0 999.0  24.9 999.0 99.0 99.00
2023 01 21 21 26 999 99.0 99.0  0.89 14.29  6.55   7 9999.0 999.0  24.8 999.0 99.0 99.00
2023 01 21 21 56 999 99.0 99.0  0.83 14.29  5.89 352 9999.0 999.0  24.9 999.0 99.0 99.00
2023 01 21 22 26 999 99.0 99.0  0.81 14.29  5.72  18 9999.0 999.0  24.9 999.0 99.0 99.00
2023 01 21 22 56 999 99.0 99.0  0.83 13.33  5.97   9 9999.0 999.0  24.9 999.0 99.0 99.00
2023 01 21 23 26 999 99.0 99.0  0.82 14.29  5.97   4 9999.0 999.0  24.9 999.0 99.0 99.00
2023 01 21 23 56 999 99.0 99.0  0.78  7.69  5.46  83 9999.0 999.0  24.9 999.0 99.0 99.00
2023 01 22 00 26 999 99.0 99.0  0.82  6.25  5.64  80 9999.0 999.0  24.9 999.0 99.0 99.00
2023 01 22 00 56 999 99.0 99.0  0.83  6.67  6.20  75 9999.0 999.0  24.9 999.0 99.0 99.00
2023 01 22 01 26 999 99.0 99.0  0.84 12.50  6.25   3 9999.0 999.0  24.9 999.0 99.0 99.00
2023 01 22 01 56 999 99.0 99.0  0.83 13.33  6.19 357 9999.0 999.0  24.9 999.0 99.0 99.00
2023 01 22 02 26 999 99.0 99.0  0.80  7.69  5.88  87 9999.0 999.0  24.9 999.0 99.0 99.00
2023 01 22 02 56 999 99.0 99.0  0.85  7.14  6.22  86 9999.0 999.0  24.9 999.0 99.0 99.00
2023 01 22 03 26 999 99.0 99.0  0.73 13.33  6.35   6 9999.0 999.0  24.9 999.0 99.0 99.00
