#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2019 01 01 00 00 999 99.0 99.0  2.06  6.67  6.08  77 9999.0 999.0  24.8 999.0 99.0 99.00
2019 01 01 00 30 999 99.0 99.0  1.99  7.14  5.97  68 9999.0 999.0  24.8 999.0 99.0 99.00
2019 01 01 01 00 999 99.0 99.0  2.02  7.14  5.97  68 9999.0 999.0  24.8 999.0 99.0 99.00
2019 01 01 01 30 999 99.0 99.0  1.90  6.25  5.79  72 9999.0 999.0  24.8 999.0 99.0 99.00
2019 01 01 02 00 999 99.0 99.0  1.93  6.67  5.92  71 9999.0 999.0  24.8 999.0 99.0 99.00
2019 01 01 02 30 999 99.0 99.0  2.00  6.67  6.09  62 9999.0 999.0  24.8 999.0 99.0 99.00
2019 01 01 03 00 999 99.0 99.0  1.88  7.14  6.19  77 9999.0 999.0  24.8 999.0 99.0 99.00
2019 01 01 03 30 999 99.0 99.0  1.94  9.09  6.23  41 9999.0 999.0  24.9 999.0 99.0 99.00
2019 01 01 04 00 999 99.0 99.0  1.79  9.88  6.17  43 9999.0 999.0  24.9 999.0 99.0 99.00
2019 01 01 04 30 999 99.0 99.0  1.89  9.88  6.30  47 9999.0 999.0  24.8 999.0 99.0 99.00
2019 01 01 05 00 999 99.0 99.0  1.80  7.69  6.09  57 9999.0 999.0  24.8 999.0 99.0 99.00
2019 01 01 05 30 999 99.0 99.0  1.80  9.88  6.22  62 9999.0 999.0  24.8 999.0 99.0 99.00
2019 01 01 06 00 999 99.0 99.0  1.89  7.69  6.29  62 9999.0 999.0  24.8 999.0 99.0 99.00
2019 01 01 06 30 999 99.0 99.0  1.90  9.09  6.15  50 9999.0 999.0  24.8 999.0 99.0 99.00
2019 01 01 07 30 999 99.0 99.0  2.10  9.09  6.46  46 9999.0 999.0  24.8 999.0 99.0 99.00
2019 01 01 08 00 999 99.0 99.0  2.00  7.69  6.35  69 9999.0 999.0  24.8 999.0 99.0 99.00
2019 01 01 08 30 999 99.0 99.0  1.90  9.09  6.16  47 9999.0 999.0  24.8 999.0 99.0 99.00
2019 01 01 09 00 999 99.0 99.0  2.19  9.09  6.60  57 9999.0 999.0  24.8 999.0 99.0 99.00
2019 01 01 09 30 999 99.0 99.0  2.23  9.09  6.64  50 9999.0 999.0  24.8 999.0 99.0 99.00
2019 01 01 10 00 999 99.0 99.0  2.06  9.09  6.25  48 9999.0 999.0  24.8 999.0 99.0 99.00
2019 01 01 10 30 999 99.0 99.0  2.20  9.09  6.47  50 9999.0 999.0  24.8 999.0 99.0 99.00
2019 01 01 11 00 999 99.0 99.0  2.16  9.88  6.36  55 9999.0 999.0  24.7 999.0 99.0 99.00
2019 01 01 11 30 999 99.0 99.0  2.16  7.69  6.25  71 9999.0 999.0  24.7 999.0 99.0 99.00
2019 01 01 12 00 999 99.0 99.0  2.28 10.53  6.52  47 9999.0 999.0  24.7 999.0 99.0 99.00
2019 01 01 12 30 999 99.0 99.0  2.14  9.88  6.25  55 9999.0 999.0  24.7 999.0 99.0 99.00
2019 01 01 13 00 999 99.0 99.0  2.32  9.09  6.36  53 9999.0 999.0  24.7 999.0 99.0 99.00
2019 01 01 14 00 999 99.0 99.0  2.04  8.33  6.09  74 9999.0 999.0  24.7 999.0 99.0 99.00
2019 01 01 14 30 999 99.0 99.0  2.29  9.09  6.43  62 9999.0 999.0  24.7 999.0 99.0 99.00
