#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2020 01 01 00 00 999 99.0 99.0  2.01  9.09  6.26  72 9999.0 999.0  25.5 999.0 99.0 99.00
2020 01 01 00 30 999 99.0 99.0  2.04  9.88  6.22  62 9999.0 999.0  25.5 999.0 99.0 99.00
2020 01 01 01 00 999 99.0 99.0  2.18  7.69  6.38  62 9999.0 999.0  25.5 999.0 99.0 99.00
2020 01 01 01 30 999 99.0 99.0  2.24  9.09  6.30  74 9999.0 999.0  25.5 999.0 99.0 99.00
2020 01 01 02 00 999 99.0 99.0  2.33  9.09  6.50  71 9999.0 999.0  25.5 999.0 99.0 99.00
2020 01 01 02 30 999 99.0 99.0  2.45  9.09  6.85  77 9999.0 999.0  25.5 999.0 99.0 99.00
2020 01 01 03 00 999 99.0 99.0  2.38  9.09  6.64  71 9999.0 999.0  25.5 999.0 99.0 99.00
2020 01 01 03 30 999 99.0 99.0  2.32  9.88  6.68  67 9999.0 999.0  25.4 999.0 99.0 99.00
2020 01 01 04 00 999 99.0 99.0  2.34  8.33  6.66  74 9999.0 999.0  25.4 999.0 99.0 99.00
2020 01 01 04 30 999 99.0 99.0  2.17  9.09  6.45  75 9999.0 999.0  25.4 999.0 99.0 99.00
2020 01 01 05 00 999 99.0 99.0  2.48  9.09  6.76  75 9999.0 999.0  25.4 999.0 99.0 99.00
2020 01 01 05 30 999 99.0 99.0  2.39  9.09  6.50  78 9999.0 999.0  25.4 999.0 99.0 99.00
2020 01 01 06 00 999 99.0 99.0  2.24  9.88  6.76  69 9999.0 999.0  25.4 999.0 99.0 99.00
2020 01 01 06 30 999 99.0 99.0  2.26  9.09  6.69  75 9999.0 999.0  25.4 999.0 99.0 99.00
2020 01 01 07 00 999 99.0 99.0  2.35  9.09  6.98  71 9999.0 999.0  25.4 999.0 99.0 99.00
2020 01 01 07 30 999 99.0 99.0  2.15  9.88  6.70  72 9999.0 999.0  25.4 999.0 99.0 99.00
2020 01 01 08 00 999 99.0 99.0  2.18  9.88  6.76  64 9999.0 999.0  25.4 999.0 99.0 99.00
2020 01 01 08 30 999 99.0 99.0  2.33 10.53  7.03  54 9999.0 999.0  25.4 999.0 99.0 99.00
2020 01 01 09 00 999 99.0 99.0  2.10  9.09  6.64  64 9999.0 999.0  25.4 999.0 99.0 99.00
2020 01 01 09 30 999 99.0 99.0  2.23  9.09  6.80  69 9999.0 999.0  25.4 999.0 99.0 99.00
2020 01 01 10 00 999 99.0 99.0  2.07  9.88  6.71  62 9999.0 999.0  25.4 999.0 99.0 99.00
2020 01 01 10 30 999 99.0 99.0  2.22  9.88  6.84  72 9999.0 999.0  25.4 999.0 99.0 99.00
2020 01 01 11 00 999 99.0 99.0  2.15 10.53  7.00  54 9999.0 999.0  25.4 999.0 99.0 99.00
2020 01 01 11 30 999 99.0 99.0  2.08  9.88  6.51  55 9999.0 999.0  25.4 999.0 99.0 99.00
2020 01 01 12 00 999 99.0 99.0  2.12  9.88  6.86  58 9999.0 999.0  25.3 999.0 99.0 99.00
2020 01 01 12 30 999 99.0 99.0  2.19  9.88  6.83  57 9999.0 999.0  25.3 999.0 99.0 99.00
2020 01 01 13 00 999 99.0 99.0  2.23 10.53  7.30  67 9999.0 999.0  25.3 999.0 99.0 99.00
2020 01 01 13 30 999 99.0 99.0  2.12  9.88  7.20  57 9999.0 999.0  25.3 999.0 99.0 99.00
2020 01 01 14 00 999 99.0 99.0  1.99 10.53  7.02  74 9999.0 999.0  25.3 999.0 99.0 99.00
2020 01 01 14 30 999 99.0 99.0  2.17 10.53  7.29  61 9999.0 999.0  25.3 999.0 99.0 99.00
2020 01 01 15 00 999 99.0 99.0  2.30  9.88  7.60  65 9999.0 999.0  25.3 999.0 99.0 99.00
2020 01 01 15 30 999 99.0 99.0  2.27 10.53  7.40  68 9999.0 999.0  25.3 999.0 99.0 99.00
2020 01 01 16 00 999 99.0 99.0  2.31  9.88  7.50  65 9999.0 999.0  25.3 999.0 99.0 99.00
2020 01 01 16 30 999 99.0 99.0  2.11 10.53  7.11  72 9999.0 999.0  25.3 999.0 99.0 99.00
2020 01 01 17 00 999 99.0 99.0  1.99 10.53  6.83  74 9999.0 999.0  25.3 999.0 99.0 99.00
2020 01 01 17 30 999 99.0 99.0  2.12 10.53  7.28  71 9999.0 999.0  25.3 999.0 99.0 99.00
2020 01 01 18 00 999 99.0 99.0  2.08 10.53  7.17  55 9999.0 999.0  25.3 999.0 99.0 99.00
2020 01 01 18 30 999 99.0 99.0  2.05  9.88  7.18  71 9999.0 999.0  25.3 999.0 99.0 99.00
2020 01 01 19 00 999 99.0 99.0  2.02  9.88  7.27  65 9999.0 999.0  25.3 999.0 99.0 99.00
2020 01 01 19 30 999 99.0 99.0  2.01  9.88  7.61  65 9999.0 999.0  25.3 999.0 99.0 99.00
2020 01 01 20 00 999 99.0 99.0  1.90  9.88  7.10  67 9999.0 999.0  25.4 999.0 99.0 99.00
2020 01 01 20 30 999 99.0 99.0  1.70  9.09  6.94  69 9999.0 999.0  25.4 999.0 99.0 99.00
2020 01 01 21 00 999 99.0 99.0  1.80  9.09  7.23  71 9999.0 999.0  25.4 999.0 99.0 99.00
2020 01 01 21 30 999 99.0 99.0  1.96 10.53  7.19  58 9999.0 999.0  25.4 999.0 99.0 99.00
2020 01 01 22 00 999 99.0 99.0  1.68  9.88  6.79  71 9999.0 999.0  25.4 999.0 99.0 99.00
2020 01 01 22 30 999 99.0 99.0  1.75  9.88  6.97  79 9999.0 999.0  25.4 999.0 99.0 99.00
2020 01 01 23 00 999 99.0 99.0  1.96  9.88  7.52  69 9999.0 999.0  25.4 999.0 99.0 99.00
2020 01 01 23 30 999 99.0 99.0  1.77  9.88  7.28  61 9999.0 999.0  25.5 999.0 99.0 99.00
2020 01 02 00 00 999 99.0 99.0  1.68 10.53  7.19  61 9999.0 999.0  25.5 999.0 99.0 99.00
2020 01 02 00 30 999 99.0 99.0  1.72  9.88  7.35  79 9999.0 999.0  25.6 999.0 99.0 99.00
2020 01 02 01 00 999 99.0 99.0  1.79  9.88  7.57  67 9999.0 999.0  25.6 999.0 99.0 99.00
2020 01 02 01 30 999 99.0 99.0  1.84 10.53  7.73  72 9999.0 999.0  25.6 999.0 99.0 99.00
2020 01 02 02 00 999 99.0 99.0  2.00 10.53  7.90  69 9999.0 999.0  25.5 999.0 99.0 99.00
2020 01 02 02 30 999 99.0 99.0  1.96 10.53  7.88  68 9999.0 999.0  25.5 999.0 99.0 99.00
2020 01 02 03 00 999 99.0 99.0  1.88  9.88  7.71  67 9999.0 999.0  25.4 999.0 99.0 99.00
2020 01 02 03 30 999 99.0 99.0  1.86 10.53  7.84  65 9999.0 999.0  25.5 999.0 99.0 99.00
2020 01 02 04 00 999 99.0 99.0  2.01  9.88  8.12  69 9999.0 999.0  25.5 999.0 99.0 99.00
2020 01 02 04 30 999 99.0 99.0  1.87 10.53  7.75  75 9999.0 999.0  25.4 999.0 99.0 99.00
2020 01 02 05 00 999 99.0 99.0  1.81 10.53  7.59  48 9999.0 999.0  25.4 999.0 99.0 99.00
2020 01 02 05 30 999 99.0 99.0  1.92  9.88  7.70  68 9999.0 999.0  25.4 999.0 99.0 99.00
2020 01 02 06 00 999 99.0 99.0  1.77  9.88  7.41  79 9999.0 999.0  25.4 999.0 99.0 99.00
2020 01 02 06 30 999 99.0 99.0  1.86 10.53  7.47  46 9999.0 999.0  25.4 999.0 99.0 99.00
2020 01 02 07 00 999 99.0 99.0  1.85  9.88  7.59  74 9999.0 999.0  25.4 999.0 99.0 99.00
2020 01 02 07 30 999 99.0 99.0  1.85  9.88  7.50  72 9999.0 999.0  25.3 999.0 99.0 99.00
2020 01 02 08 00 999 99.0 99.0  1.95  9.88  7.57  64 9999.0 999.0  25.4 999.0 99.0 99.00
2020 01 02 08 30 999 99.0 99.0  1.78 10.53  7.30  53 9999.0 999.0  25.4 999.0 99.0 99.00
2020 01 02 09 00 999 99.0 99.0  1.94 11.11  7.40  29 9999.0 999.0  25.4 999.0 99.0 99.00
